side,signal,entry_time,entry_index,entry_price,exit_time,exit_index,exit_price,exit_reason,pnl,position_notional,balance_after
long,regular_bull,2025-08-04 14:49:00,29,115144.01,2025-08-04 15:06:00,46,114892.17,bear_div,-0.21871741308991804,100.0,99.78128259
short,hidden_bear,2025-08-04 15:30:00,70,114816.99,2025-08-04 15:39:00,79,114714.41,tp_rsi,0.08914677146720511,99.78128259,99.87042936
long,hidden_bull,2025-08-04 16:12:00,112,115126.91,2025-08-04 16:33:00,133,114966.74,bear_div,-0.13894446285921358,99.87042936,99.7314849
long,regular_bull,2025-08-04 16:40:00,140,114955.17,2025-08-04 16:46:00,146,115268.0,tp_rsi,0.2714014552043825,99.7314849,100.00288636
short,regular_bear,2025-08-04 16:58:00,158,115310.84,2025-08-04 17:19:00,179,115535.25,bull_div,-0.19461871692243288,100.00288636,99.80826764
long,regular_bull,2025-08-04 17:37:00,197,115321.28,2025-08-04 17:57:00,217,115167.84,bear_div,-0.13279925948343474,99.80826764,99.67546838
long,regular_bull,2025-08-04 18:07:00,227,115223.19,2025-08-04 18:26:00,246,115288.21,bear_div,0.05624648088694651,99.67546838,99.73171486
long,hidden_bull,2025-08-04 18:37:00,257,115191.98,2025-08-04 19:07:00,287,114930.01,bear_div,-0.22681021145633853,99.73171486,99.50490465
long,hidden_bull,2025-08-04 19:21:00,301,115030.04,2025-08-04 19:26:00,306,114971.0,bear_div,-0.05107161199400924,99.50490465,99.45383304
long,regular_bull,2025-08-04 19:39:00,319,114810.49,2025-08-04 19:44:00,324,114802.33,bear_div,-0.007068546415982958,99.45383304,99.44676449
short,hidden_bear,2025-08-04 19:56:00,336,114758.41,2025-08-04 20:59:00,399,114811.96,tp_rsi,-0.046405089077478416,99.44676449,99.4003594
long,hidden_bull,2025-08-04 21:21:00,421,114980.01,2025-08-04 21:35:00,435,115097.45,tp_rsi,0.1015270237664463,99.4003594,99.50188642
long,hidden_bull,2025-08-04 21:45:00,445,115247.96,2025-08-04 21:51:00,451,115258.61,tp_rsi,0.009194914082404764,99.50188642,99.51108133
short,hidden_bear,2025-08-04 23:24:00,544,115279.99,2025-08-04 23:32:00,552,115207.98,tp_rsi,0.06215990274265487,99.51108133,99.57324123
short,hidden_bear,2025-08-04 23:40:00,560,115234.69,2025-08-04 23:49:00,569,115105.95,tp_rsi,0.11124305602723208,99.57324123,99.68448429
long,regular_bull,2025-08-05 00:00:00,580,115039.83,2025-08-05 00:05:00,585,115050.02,bear_div,0.008829853928985571,99.68448429,99.69331414
long,regular_bull,2025-08-05 00:23:00,603,114973.11,2025-08-05 00:36:00,616,115076.56,tp_rsi,0.08970161238382357,99.69331414,99.78301575
long,hidden_bull,2025-08-05 00:43:00,623,114902.39,2025-08-05 01:06:00,646,114990.66,tp_rsi,0.07665503563723006,99.78301575,99.85967079
short,regular_bear,2025-08-05 01:10:00,650,114983.44,2025-08-05 01:17:00,657,114846.99,tp_rsi,0.11850273464853033,99.85967079,99.97817352
long,regular_bull,2025-08-05 01:30:00,670,114841.55,2025-08-05 01:41:00,681,114825.35,bear_div,-0.014103313748584104,99.97817352,99.96407021
long,regular_bull,2025-08-05 02:39:00,739,114630.93,2025-08-05 02:48:00,748,114689.64,tp_rsi,0.05119814139194143,99.96407021,100.01526835
long,regular_bull,2025-08-05 03:21:00,781,114343.07,2025-08-05 04:06:00,826,114374.11,tp_rsi,0.02715052105548119,100.01526835,100.04241887
long,hidden_bull,2025-08-05 04:16:00,836,114383.64,2025-08-05 04:47:00,867,114338.26,tp_rsi,-0.03969033480942787,100.04241887,100.00272854
short,regular_bear,2025-08-05 04:52:00,872,114324.0,2025-08-05 04:57:00,877,114376.99,bull_div,-0.04635198720596834,100.00272854,99.95637655
long,hidden_bull,2025-08-05 05:07:00,887,114412.66,2025-08-05 05:29:00,909,114394.0,bear_div,-0.016302269228102458,99.95637655,99.94007428
long,regular_bull,2025-08-05 05:30:00,910,114394.0,2025-08-05 05:33:00,913,114352.82,bear_div,-0.035976819228715685,99.94007428,99.90409746
short,hidden_bear,2025-08-05 05:54:00,934,114405.81,2025-08-05 06:31:00,971,114407.07,tp_rsi,-0.0011002864522398857,99.90409746,99.90299717
long,regular_bull,2025-08-05 06:43:00,983,114307.94,2025-08-05 06:55:00,995,114136.01,bear_div,-0.15026359764193856,99.90299717,99.75273357
short,hidden_bear,2025-08-05 07:01:00,1001,114133.6,2025-08-05 07:03:00,1003,114199.89,bull_div,-0.057937440931983754,99.75273357,99.69479613
short,hidden_bear,2025-08-05 07:42:00,1042,114010.96,2025-08-05 08:27:00,1087,114364.79,bull_div,-0.3094001639375427,99.69479613,99.38539597
short,regular_bear,2025-08-05 08:30:00,1090,114356.99,2025-08-05 08:51:00,1111,114293.33,bull_div,0.05532564565970604,99.38539597,99.44072162
short,regular_bear,2025-08-05 09:17:00,1137,114436.03,2025-08-05 09:22:00,1142,114460.0,bull_div,-0.020829052678876716,99.44072162,99.41989257
short,regular_bear,2025-08-05 09:25:00,1145,114496.16,2025-08-05 09:50:00,1170,114644.36,bull_div,-0.12868578368806177,99.41989257,99.29120679
long,hidden_bull,2025-08-05 10:38:00,1218,114935.76,2025-08-05 10:54:00,1234,114878.62,bear_div,-0.04936235298727344,99.29120679,99.24184444
long,hidden_bull,2025-08-05 11:48:00,1288,114840.0,2025-08-05 12:11:00,1311,114807.38,bear_div,-0.028189384932361002,99.24184444,99.21365506
short,regular_bear,2025-08-05 12:16:00,1316,114785.6,2025-08-05 12:18:00,1318,114688.0,tp_rsi,0.08435947308596702,99.21365506,99.29801453
long,regular_bull,2025-08-05 12:41:00,1341,113926.54,2025-08-05 12:42:00,1342,114030.38,bear_div,0.09050661793815822,99.29801453,99.38852115
short,hidden_bear,2025-08-05 12:49:00,1349,113963.02,2025-08-05 14:01:00,1421,114108.6,tp_rsi,-0.1269620698803627,99.38852115,99.26155908
long,regular_bull,2025-08-05 14:10:00,1430,114043.25,2025-08-05 14:25:00,1445,113326.98,bear_div,-0.6234308205196888,99.26155908,98.63812826
short,regular_bear,2025-08-05 15:11:00,1491,113147.21,2025-08-05 15:14:00,1494,113187.78,bull_div,-0.03536763180910474,98.63812826,98.60276063
short,hidden_bear,2025-08-05 15:37:00,1517,112826.62,2025-08-05 15:44:00,1524,112793.95,bull_div,0.028551348873004687,98.60276063,98.63131198
short,hidden_bear,2025-08-05 16:03:00,1543,112923.7,2025-08-05 16:16:00,1556,113145.78,bull_div,-0.1939720516111195,98.63131198,98.43733993
short,regular_bear,2025-08-05 16:18:00,1558,113084.83,2025-08-05 16:21:00,1561,113183.07,bull_div,-0.08551530983177598,98.43733993,98.35182462
short,regular_bear,2025-08-05 16:34:00,1574,113212.0,2025-08-05 16:37:00,1577,113262.59,bull_div,-0.04394957078335739,98.35182462,98.30787505
long,regular_bull,2025-08-05 16:44:00,1584,113046.45,2025-08-05 17:11:00,1611,113199.01,bear_div,0.13266979562496453,98.30787505,98.44054485
short,regular_bear,2025-08-05 17:30:00,1630,113471.17,2025-08-05 17:34:00,1634,113437.21,bull_div,0.029461588376194565,98.44054485,98.47000644
long,regular_bull,2025-08-05 17:42:00,1642,113437.03,2025-08-05 17:55:00,1655,113611.3,tp_rsi,0.15127659832330945,98.47000644,98.62128304
long,hidden_bull,2025-08-05 19:12:00,1732,113741.35,2025-08-05 19:30:00,1750,113611.43,bear_div,-0.11264924403093562,98.62128304,98.5086338
long,regular_bull,2025-08-05 19:48:00,1768,113609.34,2025-08-05 19:55:00,1775,113552.0,bear_div,-0.04971849200155248,98.5086338,98.45891531
long,regular_bull,2025-08-05 19:56:00,1776,113611.69,2025-08-05 20:11:00,1791,113796.31,bear_div,0.15999660725521944,98.45891531,98.61891192
long,hidden_bull,2025-08-05 20:12:00,1792,113796.31,2025-08-05 20:19:00,1799,113846.15,tp_rsi,0.04319267092309457,98.61891192,98.66210459
short,regular_bear,2025-08-05 20:26:00,1806,113863.97,2025-08-05 20:36:00,1816,113900.0,bull_div,-0.031219670527714648,98.66210459,98.63088492
long,regular_bull,2025-08-05 21:59:00,1899,113606.53,2025-08-05 22:12:00,1912,113763.8,tp_rsi,0.13653862389220764,98.63088492,98.76742354
short,regular_bear,2025-08-05 22:28:00,1928,113815.94,2025-08-05 22:30:00,1930,113887.92,bull_div,-0.062462948040571446,98.76742354,98.70496059
long,hidden_bull,2025-08-05 22:37:00,1937,113920.31,2025-08-05 22:44:00,1944,113940.51,bear_div,0.017502060904835255,98.70496059,98.72246265
long,hidden_bull,2025-08-05 22:53:00,1953,113959.48,2025-08-05 23:02:00,1962,113996.5,tp_rsi,0.03207021975971988,98.72246265,98.75453287
long,hidden_bull,2025-08-05 23:20:00,1980,114074.48,2025-08-05 23:22:00,1982,114102.8,bear_div,0.024516687438584775,98.75453287,98.77904956
long,hidden_bull,2025-08-05 23:48:00,2008,114136.37,2025-08-06 00:13:00,2033,114016.56,bear_div,-0.10368927912972326,98.77904956,98.67536028
short,hidden_bear,2025-08-06 00:19:00,2039,113997.62,2025-08-06 00:46:00,2066,113816.51,tp_rsi,0.1567672597051663,98.67536028,98.83212754
short,regular_bear,2025-08-06 02:00:00,2140,113821.14,2025-08-06 02:07:00,2147,113637.69,tp_rsi,0.15929162014378623,98.83212754,98.99141916
long,regular_bull,2025-08-06 02:14:00,2154,113626.23,2025-08-06 02:21:00,2161,113666.86,bear_div,0.03539694453007251,98.99141916,99.0268161
long,hidden_bull,2025-08-06 02:23:00,2163,113690.0,2025-08-06 03:32:00,2232,113461.2,bear_div,-0.19929048749828737,99.0268161,98.82752561
long,hidden_bull,2025-08-06 04:02:00,2262,113569.51,2025-08-06 04:09:00,2269,113440.01,bear_div,-0.11269014514982939,98.82752561,98.71483546
short,hidden_bear,2025-08-06 04:19:00,2279,113436.74,2025-08-06 04:37:00,2297,113390.01,tp_rsi,0.04066534582223391,98.71483546,98.75550081
short,hidden_bear,2025-08-06 04:49:00,2309,113420.62,2025-08-06 05:18:00,2338,114099.1,bull_div,-0.5907535348472777,98.75550081,98.16474728
short,regular_bear,2025-08-06 05:19:00,2339,114057.01,2025-08-06 05:31:00,2351,113927.83,bull_div,0.11118055833332571,98.16474728,98.27592784
short,regular_bear,2025-08-06 05:43:00,2363,114266.5,2025-08-06 06:02:00,2382,114027.8,tp_rsi,0.20529607518745838,98.27592784,98.48122392
long,regular_bull,2025-08-06 06:06:00,2386,114024.3,2025-08-06 06:10:00,2390,114000.13,bear_div,-0.020875297477346743,98.48122392,98.46034862
long,regular_bull,2025-08-06 06:13:00,2393,114021.41,2025-08-06 06:51:00,2431,114137.22,bear_div,0.10000484096523601,98.46034862,98.56035346
long,hidden_bull,2025-08-06 06:55:00,2435,114117.87,2025-08-06 07:12:00,2452,114251.59,tp_rsi,0.11549015473800306,98.56035346,98.67584361
short,hidden_bear,2025-08-06 07:44:00,2484,114175.0,2025-08-06 07:45:00,2485,114163.58,bull_div,0.009869744988185047,98.67584361,98.68571335
long,hidden_bull,2025-08-06 07:57:00,2497,114220.03,2025-08-06 08:22:00,2522,114077.96,bear_div,-0.12274799171068117,98.68571335,98.56296536
long,hidden_bull,2025-08-06 08:28:00,2528,114077.0,2025-08-06 08:38:00,2538,113921.27,bear_div,-0.13455131705350246,98.56296536,98.42841404
short,hidden_bear,2025-08-06 08:49:00,2549,113846.44,2025-08-06 09:08:00,2568,113965.9,bull_div,-0.10328173934308002,98.42841404,98.3251323
short,regular_bear,2025-08-06 09:12:00,2572,113971.68,2025-08-06 09:38:00,2598,113985.12,tp_rsi,-0.011594896013748583,98.3251323,98.3135374
short,hidden_bear,2025-08-06 09:51:00,2611,114040.0,2025-08-06 10:19:00,2639,113964.21,tp_rsi,0.06533832865262514,98.3135374,98.37887573
short,regular_bear,2025-08-06 11:22:00,2702,114193.38,2025-08-06 11:33:00,2713,114290.11,bull_div,-0.08333397828632885,98.37887573,98.29554175
short,regular_bear,2025-08-06 11:36:00,2716,114306.59,2025-08-06 11:51:00,2731,114206.43,tp_rsi,0.0861304799809035,98.29554175,98.38167223
