type,entry_time,entry_price,exit_time,exit_price,pnl_pct,exit_reason
sell,2025-07-04 19:12:00,1.132e-05,2025-07-04 19:13:00,1.134264e-05,-0.19999999999999857,SL
buy,2025-07-06 02:08:00,1.1439999999999999e-05,2025-07-06 02:18:00,1.141712e-05,-0.19999999999999726,SL
sell,2025-07-07 20:03:00,1.1555e-05,2025-07-07 21:53:00,1.1578110000000001e-05,-0.20000000000000456,SL
buy,2025-07-07 21:07:00,1.1545e-05,2025-07-07 21:16:00,1.152191e-05,-0.20000000000000712,SL
buy,2025-07-07 21:38:00,1.15475e-05,2025-07-07 22:04:00,1.1524405000000001e-05,-0.1999999999999955,SL
buy,2025-07-08 02:55:00,1.1589999999999999e-05,2025-07-08 06:48:00,1.1763849999999997e-05,1.4999999999999858,TP
sell,2025-07-09 00:58:00,1.1835000000000001e-05,2025-07-09 01:05:00,1.1858670000000002e-05,-0.20000000000000626,SL
sell,2025-07-09 01:19:00,1.1827500000000002e-05,2025-07-09 02:45:00,1.1851155000000001e-05,-0.19999999999999735,SL
sell,2025-07-09 03:45:00,1.1819999999999999e-05,2025-07-09 04:41:00,1.1843639999999999e-05,-0.20000000000000287,SL
buy,2025-07-10 06:46:00,1.244e-05,2025-07-10 08:59:00,1.2626599999999999e-05,1.4999999999999936,TP
sell,2025-07-11 11:08:00,1.3445000000000001e-05,2025-07-11 11:36:00,1.3477500000000001e-05,-0.24172554853105327,SL
sell,2025-07-11 15:14:00,1.3585e-05,2025-07-11 15:16:00,1.36225e-05,-0.27603974972396694,SL
sell,2025-07-13 03:43:00,1.3195e-05,2025-07-13 04:51:00,1.322139e-05,-0.19999999999999687,SL
buy,2025-07-13 04:48:00,1.3195e-05,2025-07-13 05:50:00,1.316861e-05,-0.19999999999999687,SL
buy,2025-07-14 07:15:00,1.382e-05,2025-07-14 07:16:00,1.379236e-05,-0.2000000000000046,SL
sell,2025-07-14 08:02:00,1.38525e-05,2025-07-14 09:40:00,1.3880205e-05,-0.20000000000000073,SL
sell,2025-07-14 11:18:00,1.37975e-05,2025-07-14 13:54:00,1.3825094999999999e-05,-0.19999999999999407,SL
buy,2025-07-15 01:46:00,1.3165e-05,2025-07-15 01:58:00,1.313867e-05,-0.2000000000000036,SL
buy,2025-07-15 15:36:00,1.309e-05,2025-07-15 16:03:00,1.3286349999999999e-05,1.4999999999999891,TP
buy,2025-07-16 14:33:00,1.3895e-05,2025-07-16 15:20:00,1.386721e-05,-0.19999999999999477,SL
sell,2025-07-16 15:17:00,1.3895e-05,2025-07-16 15:27:00,1.392279e-05,-0.19999999999999477,SL
buy,2025-07-17 00:20:00,1.4545e-05,2025-07-17 01:22:00,1.45e-05,-0.30938466827088634,SL
sell,2025-07-17 08:33:00,1.4392500000000002e-05,2025-07-17 09:05:00,1.4421285000000001e-05,-0.19999999999999596,SL
buy,2025-07-17 10:10:00,1.44425e-05,2025-07-17 10:12:00,1.4413615e-05,-0.19999999999999754,SL
buy,2025-07-17 12:40:00,1.4435e-05,2025-07-17 13:08:00,1.440613e-05,-0.20000000000000195,SL
sell,2025-07-17 15:06:00,1.431e-05,2025-07-17 15:07:00,1.433862e-05,-0.19999999999999815,SL
sell,2025-07-17 16:09:00,1.4259999999999999e-05,2025-07-17 16:31:00,1.40461e-05,1.4999999999999984,TP
sell,2025-07-17 19:46:00,1.419e-05,2025-07-17 20:05:00,1.3977149999999999e-05,1.500000000000006,TP
sell,2025-07-18 22:53:00,1.4554999999999999e-05,2025-07-18 22:54:00,1.4584109999999999e-05,-0.20000000000000093,SL
sell,2025-07-19 02:06:00,1.45475e-05,2025-07-19 02:07:00,1.458e-05,-0.22340608351950586,SL
sell,2025-07-19 08:09:00,1.51275e-05,2025-07-19 08:45:00,1.5157755000000001e-05,-0.20000000000000404,SL
sell,2025-07-19 10:05:00,1.51125e-05,2025-07-19 10:21:00,1.5142725e-05,-0.20000000000000134,SL
sell,2025-07-20 14:11:00,1.5125e-05,2025-07-20 14:16:00,1.515525e-05,-0.20000000000000173,SL
buy,2025-07-20 15:25:00,1.5155e-05,2025-07-20 16:01:00,1.5382325e-05,1.4999999999999913,TP
buy,2025-07-20 22:45:00,1.5465000000000002e-05,2025-07-20 23:05:00,1.5394999999999997e-05,-0.4526349822179399,SL
buy,2025-07-21 01:07:00,1.5405e-05,2025-07-21 01:08:00,1.537419e-05,-0.2000000000000031,SL
buy,2025-07-22 01:38:00,1.5375e-05,2025-07-22 01:53:00,1.5605625e-05,1.4999999999999947,TP
sell,2025-07-22 07:57:00,1.5075e-05,2025-07-22 08:17:00,1.4848875000000001e-05,1.4999999999999964,TP
buy,2025-07-22 14:36:00,1.5015e-05,2025-07-22 14:59:00,1.5240224999999999e-05,1.4999999999999947,TP
buy,2025-07-22 20:24:00,1.516e-05,2025-07-22 23:04:00,1.5387399999999998e-05,1.4999999999999813,TP
buy,2025-07-23 05:49:00,1.5224999999999999e-05,2025-07-23 05:54:00,1.5194549999999998e-05,-0.2000000000000046,SL
sell,2025-07-26 08:55:00,1.412e-05,2025-07-26 19:45:00,1.414824e-05,-0.20000000000000182,SL
buy,2025-07-26 15:43:00,1.4040000000000001e-05,2025-07-26 17:41:00,1.4011920000000002e-05,-0.1999999999999945,SL
sell,2025-07-27 02:29:00,1.4055e-05,2025-07-27 02:36:00,1.408311e-05,-0.1999999999999974,SL
sell,2025-07-27 07:29:00,1.4115e-05,2025-07-27 15:11:00,1.3903275e-05,1.5000000000000007,TP
sell,2025-07-27 11:37:00,1.403e-05,2025-07-27 12:54:00,1.4058059999999999e-05,-0.19999999999999662,SL
sell,2025-07-27 13:33:00,1.4015e-05,2025-07-27 14:02:00,1.4043030000000001e-05,-0.2000000000000058,SL
buy,2025-07-28 00:13:00,1.4145000000000001e-05,2025-07-28 00:46:00,1.411671e-05,-0.20000000000000262,SL
sell,2025-07-28 03:23:00,1.4125000000000001e-05,2025-07-28 03:46:00,1.415325e-05,-0.19999999999999477,SL
buy,2025-07-28 04:27:00,1.413e-05,2025-07-28 05:51:00,1.4341949999999999e-05,1.499999999999992,TP
sell,2025-07-29 01:01:00,1.3365e-05,2025-07-29 01:13:00,1.339173e-05,-0.19999999999999746,SL
buy,2025-07-29 03:08:00,1.3324999999999999e-05,2025-07-29 03:30:00,1.329e-05,-0.26266416510318064,SL
sell,2025-07-29 04:52:00,1.332e-05,2025-07-29 04:53:00,1.3347499999999999e-05,-0.20645645645645133,SL
sell,2025-07-29 19:23:00,1.308e-05,2025-07-29 21:57:00,1.31225e-05,-0.32492354740061175,SL
buy,2025-07-30 05:39:00,1.306e-05,2025-07-30 05:44:00,1.3033880000000001e-05,-0.19999999999999493,SL
buy,2025-07-30 19:43:00,1.2635e-05,2025-07-30 20:11:00,1.2824524999999999e-05,1.4999999999999907,TP
buy,2025-08-01 11:32:00,1.2115e-05,2025-08-01 12:06:00,1.2296724999999999e-05,1.4999999999999891,TP
buy,2025-08-01 21:07:00,1.219e-05,2025-08-01 21:09:00,1.216e-05,-0.24610336341263092,SL
sell,2025-08-02 13:40:00,1.206e-05,2025-08-02 13:43:00,1.208412e-05,-0.20000000000000026,SL
buy,2025-08-02 15:17:00,1.2045e-05,2025-08-02 15:22:00,1.2020910000000001e-05,-0.19999999999999693,SL
sell,2025-08-03 00:11:00,1.1839999999999998e-05,2025-08-03 00:18:00,1.1863679999999998e-05,-0.19999999999999787,SL
buy,2025-08-03 14:41:00,1.217e-05,2025-08-03 15:46:00,1.22e-05,0.24650780608052353,End of Data
