type,entry_time,entry_price,exit_time,exit_price,pnl_pct,pnl_usd,balance,exit_reason,box_id
long,2025-07-14 18:00:00,2.9556,2025-07-14 18:01:00,2.9496888,-0.001999999999999964,-0.9999999999999819,99.00000000000001,SL,1
long,2025-07-15 02:37:00,2.8712,2025-07-15 03:02:00,2.8654576,-0.001999999999999974,-0.9899999999999873,98.01000000000003,SL,5
short,2025-07-15 14:18:00,2.9153,2025-07-15 14:35:00,2.88760465,0.009499999999999889,4.655474999999947,102.66547499999999,TP,10
short,2025-07-16 01:39:00,2.9217,2025-07-16 02:22:00,2.894674275,0.009250000000000038,4.748278218750018,107.41375321875,TP,15
long,2025-07-16 02:50:00,2.8978,2025-07-16 02:55:00,2.8920044000000003,-0.0019999999999999658,-1.0741375321874818,106.33961568656252,SL,16
short,2025-07-16 15:13:00,2.9789,2025-07-16 15:29:00,2.9848578,-0.0020000000000000044,-1.0633961568656274,105.2762195296969,SL,21
long,2025-07-17 01:56:00,3.0179,2025-07-17 02:54:00,3.04826761875,0.010062500000000052,5.296709795087902,110.57292932478481,TP,27
short,2025-07-17 06:37:00,3.1482,2025-07-17 06:43:00,3.1544964,-0.0020000000000000287,-1.105729293247864,109.46720003153695,SL,32
short,2025-07-17 10:00:00,3.2661,2025-07-17 10:01:00,3.2726322,-0.0020000000000000304,-1.0946720003153863,108.37252803122156,SL,36
short,2025-07-17 19:38:00,3.3627,2025-07-17 19:41:00,3.3795134999999994,-0.0049999999999998795,-2.7093132007804743,105.66321483044109,SL,39
short,2025-07-18 01:06:00,3.6248,2025-07-18 01:07:00,3.642924,-0.004999999999999946,-2.641580370760999,103.02163445968009,SL,43
short,2025-07-18 03:43:00,3.6387,2025-07-18 04:04:00,3.5907714984375003,0.013171874999999925,6.784940456992956,109.80657491667304,TP,44
long,2025-07-18 08:02:00,3.4878,2025-07-18 08:03:00,3.4808244,-0.0020000000000000235,-1.0980657491667434,108.70850916750629,SL,48
short,2025-07-18 12:55:00,3.5097,2025-07-18 13:21:00,3.465815040234375,0.012503906250000002,6.796405036038823,115.50491420354511,TP,50
long,2025-07-18 14:45:00,3.4548,2025-07-18 14:47:00,3.4478904,-0.0020000000000000525,-1.1550491420354816,114.34986506150963,SL,51
short,2025-07-18 19:31:00,3.4471,2025-07-18 19:32:00,3.4539942,-0.0020000000000000213,-1.1434986506151084,113.20636641089452,SL,54
short,2025-07-19 00:49:00,3.4428,2025-07-19 00:53:00,3.4496856,-0.0019999999999999814,-1.1320636641089346,112.07430274678558,SL,57
long,2025-07-19 15:02:00,3.3731,2025-07-19 15:25:00,3.4169601821289066,0.013002929687500114,7.286471391960268,119.36077413874584,TP,60
long,2025-07-19 21:49:00,3.4018,2025-07-19 22:04:00,3.3949964,-0.002000000000000006,-1.1936077413874622,118.16716639735837,SL,63
long,2025-07-20 02:47:00,3.4038,2025-07-20 07:29:00,3.4459295040527342,0.012377197265624978,7.312891644100181,125.48005804145855,TP,67
short,2025-07-20 07:52:00,3.4411,2025-07-20 08:00:00,3.4479822,-0.00200000000000005,-1.2548005804146165,124.22525746104394,SL,71
long,2025-07-20 21:35:00,3.5054,2025-07-20 21:37:00,3.4983891999999996,-0.0020000000000000586,-1.2422525746104758,122.98300488643346,SL,74
short,2025-07-21 05:09:00,3.4947,2025-07-21 05:43:00,3.5016894,-0.0020000000000000417,-1.2298300488643603,121.7531748375691,SL,77
short,2025-07-21 06:44:00,3.5446,2025-07-21 06:46:00,3.5516891999999998,-0.0019999999999999424,-1.2175317483756558,120.53564308919346,SL,78
short,2025-07-21 07:54:00,3.568,2025-07-21 08:25:00,3.575136,-0.0020000000000000087,-1.20535643089194,119.33028665830152,SL,80
short,2025-07-21 14:41:00,3.6084,2025-07-21 14:43:00,3.6156168,-0.0020000000000000373,-1.1933028665830374,118.13698379171848,SL,83
short,2025-07-21 15:07:00,3.62,2025-07-21 15:09:00,3.62724,-0.0019999999999999758,-1.1813698379171704,116.9556139538013,SL,84
